window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
285,0.1587301587,0.327540107,0.292083149,0.4787307891
286,0.1526104418,0.2919088767,0.3862598754,0.5212038304
287,0.2078853047,0.3055555556,0.2399921372,0.478889142
288,0.1872659176,0.291104646,0.1977696159,0.3939321148
289,0.1762452107,0.2608113957,0.2487117702,0.3440097079
290,0.1015452539,0.1302832244,0.3553317401,0.4997320446
291,0.147922999,0.2221771467,0.3324813588,0.3691097017
292,0.1676413255,0.2857599535,0.2124884266,0.3111457569
293,0.1510574018,0.2441043084,0.3254744446,0.4264025521
294,0.1602373887,0.2641498073,0.246900357,0.4581950371
295,0.1762452107,0.1772694263,0.2888888889,0.3791787567
296,0.1734104046,0.2144630898,0.2676103756,0.4161200317
297,0.1494949495,0.2370942552,0.2547791165,0.4725051816
298,0.131661442,0.2287957822,0.2511550724,0.3113754396
299,0.2054054054,0.3031344284,0.2273165801,0.4010735373
300,0.1602373887,0.2805907173,0.3064797636,0.4576548483
301,0.1831916903,0.3410748588,0.2565961303,0.5113095238
302,0.1572139303,0.1231422505,0.229150807,0.2863939941
303,0.1719806763,0.3316358025,0.3238887567,0.4378793096
304,0.1647058824,0.3578216374,0.3266312773,0.4205621068
305,0.1632251721,0.2670940171,0.2776960784,0.3369551363
306,0.1602373887,0.3096023079,0.3095434822,0.4549089404
307,0.1494949495,0.2641163185,0.2842266621,0.3552854055
308,0.1602373887,0.3625207297,0.2680691814,0.4121769058
309,0.08018327606,0.1149262118,0.3281653747,0.2458909596
310,0.1831916903,0.1945770025,0.2369933701,0.329558684
311,0.08813559322,0.06420545746,0.3930534686,0.2674428105
312,0.1231422505,0.1372053872,0.3318803419,0.192145454
313,0.01526717557,0.01526717557,0.3253333333,0.1087879516
314,0.08018327606,0.1468531469,0.3470877908,0.2295412444
315,0.06993006993,0.06448035488,0.3678364049,0.1843180974
316,0.01526717557,0.09203142536,0.316017316,0.227184466
317,0.06360424028,0.08548318433,0.3628398954,0.1843482207
318,0.01277139208,0.05275779376,0.3444125045,0.2758415039
319,0.01526717557,0,0.3293807642,0.5211233211
320,0.1161290323,0.1587301587,0.2916036143,0.2804199269
321,0.09395973154,0.1686215676,0.3432333845,0.3785148785
322,0.1265822785,0.1932097676,0.3433841713,0.3218224042
323,0.08018327606,0.1362801708,0.3002207506,0.2529460568
324,0.04606060606,0.06567164179,0.3064971751,0.2256299618
325,0.09777777778,0.1382606188,0.4183960575,0.1940092166
326,0.03456790123,0.1926541927,0.3528540814,0.4757807021
327,0.05495818399,0.2068531116,0.3229060486,0.3338552937
328,0.1231422505,0.2169230769,0.3696910434,0.4679420197
329,0.08813559322,0.2913326482,0.3047401702,0.246314383
330,0.05931198102,0.1662658329,0.339022735,0.1885428254
331,0.02746566792,0.08418657565,0.3482726424,0.194205393
332,0.08616780045,0.1075796727,0.397962963,0.1995204943
333,0.09203142536,0.2626849833,0.3020562771,0.3686031989
334,0.0322180917,0.06717316395,0.3088749126,0.2275559297
335,0.1052631579,0.2188974598,0.4074192017,0.368193422
336,0.1052631579,0.1240981241,0.3244940997,0.3799234798
337,0.1494949495,0.2468842275,0.3584262632,0.4672936737
338,0.1214057508,0.1673646926,0.3023515007,0.3125467814
339,0.1161290323,0.1528428094,0.306876292,0.3476456222
340,0.1248677249,0.1901675131,0.3208312395,0.3330838643
341,0.1333333333,0.1738511327,0.4077596842,0.3955208123
342,0.04379562044,0.1295116773,0.3611129029,0.3521558538
343,0.1463414634,0.2211369545,0.2473500722,0.3695414808
344,0.08018327606,0.218135554,0.2596153846,0.4457567185
345,0.1899441341,0.2787189603,0.2061962619,0.336181126
346,0.1349948079,0.1584971845,0.3510372306,0.233672859
347,0.131661442,0.1858824936,0.2853770464,0.2607719638
348,0.05931198102,0.1052631579,0.3266888151,0.236502108
349,0.1431492843,0.1107195124,0.4035685693,0.3137124414
350,0.1632251721,0.1252653928,0.2571856873,0.4788170947
351,0.1831916903,0.156270806,0.3745373345,0.3732899972
352,0.219895288,0.08949177066,0.2225406929,0.4618848913
353,0.1632251721,0.1032329989,0.2732341167,0.3514733404
354,0.1831916903,0.1818181818,0.224625716,0.3970813254
355,0.2003642987,0.1312713988,0.2498049432,0.2586925292
356,0.1366459627,0.2028985507,0.3115871619,0.3345946102
357,0.1333333333,0.1781609195,0.4075717141,0.4306595365
358,0.1762452107,0.1658031932,0.2772435897,0.2780600566
359,0.1349948079,0.1624744592,0.3003173936,0.4628579251
360,0.1647058824,0.1399176955,0.3437189736,0.4401493794
361,0.2151675485,0.1804368471,0.2223406776,0.3684624018
362,0.1818181818,0.1831916903,0.2402350892,0.4630762099
363,0.1661779081,0.1632251721,0.2349501946,0.4345040372
364,0.1886087768,0.182317273,0.3137299369,0.5349443836
365,0.1831916903,0.1705426357,0.2733037454,0.4420791305
366,0.1762452107,0.1602399593,0.2255861216,0.5134166508
367,0.1602373887,0.2078853047,0.2743038534,0.3929590018
368,0.1196581197,0.2650980392,0.3304581603,0.3692719545
369,0.02985074627,0.3147766323,0.3093220339,0.4361416361
370,0.06572769953,0.3058491896,0.4136014523,0.4159257354
371,0.1447502548,0.1939058172,0.3471474125,0.4331912475
372,0.199086758,0.1366459627,0.2928672741,0.3393606655
373,0.1804368471,0.1541541542,0.2646929813,0.3062362863
374,0.1431492843,0.2127659574,0.3552118214,0.3761695118
375,0.1089324619,0.3581068289,0.5235915763,0.592678201
376,0.1214057508,0.2622432859,0.3590243314,0.4344789323
377,0.1231422505,0.2127659574,0.3161220797,0.4286113607
378,0.1431492843,0.1965105601,0.30323192,0.3847578664
379,0.1602373887,0.2151675485,0.3265795608,0.4431948599
380,0.05714285714,0.2463054187,0.260902418,0.3580229719
381,0.1526104418,0.1978021978,0.2969469469,0.3994424564
382,0.1265822785,0.2210617929,0.2613614797,0.3062217588
383,0.1676413255,0.185915493,0.2395318167,0.378799956
384,0.08219178082,0.2814145974,0.3382821016,0.4333565261
385,0.1052631579,0.2319346049,0.5073476703,0.4431446541
386,0.1632251721,0.19348659,0.4066278509,0.4068071217
387,0.1872659176,0.1815724348,0.3299896958,0.3445128019
388,0.08219178082,0.24,0.3158245945,0.4986534501
