window_index,DLinear,PatchTST,iTransformer,TimesNet
207,0.4964283407,0.4878194034,0.4936544001,0.4870663583
208,0.4964044988,0.4913695157,0.493047893,0.4880433679
209,0.4971474111,0.5002099276,0.4924024045,0.4890702665
210,0.4945928156,0.4922826886,0.4930559695,0.4903287292
211,0.4980823994,0.4876556993,0.4981593192,0.4888491929
212,0.4970904887,0.4980285764,0.4940664172,0.488410145
213,0.4961230457,0.4948564172,0.4872816205,0.4896613657
214,0.4968909323,0.4905047715,0.4882811904,0.4905797839
215,0.5190804005,0.5009830594,0.5085725188,0.5045359135
216,0.5128381848,0.5048853755,0.4985717535,0.5054894686
217,0.5159152746,0.5099196434,0.507519424,0.5074334145
218,0.514986217,0.5099248886,0.5090031624,0.5049495697
219,0.5177135468,0.5197438598,0.5062871575,0.5056727529
220,0.5153650641,0.512196362,0.498175472,0.5062174201
221,0.5235541463,0.5065238476,0.5138498545,0.5093976259
222,0.5192793012,0.505507946,0.5110961199,0.5073384643
223,0.5115306973,0.5100491643,0.5051103234,0.507450819
224,0.5200090408,0.5209401846,0.5098035932,0.5101957321
225,0.5162742138,0.5212857127,0.5095211267,0.5100306869
226,0.5151823163,0.5179303288,0.5148203969,0.5096438527
227,0.5193779469,0.5152638555,0.5054587126,0.507837832
228,0.5097826719,0.5143994689,0.5091088414,0.5052686334
229,0.506695807,0.520703733,0.5029851794,0.5032067895
230,0.5036664009,0.4993553162,0.497913897,0.4988688529
231,0.4985749424,0.4906559885,0.4878562689,0.4870832562
232,0.4910736978,0.4949825704,0.4966803193,0.4875689149
233,0.4916023612,0.4956629574,0.4873441458,0.4876873493
234,0.4938926697,0.4946768284,0.489266932,0.4907832444
235,0.4964204431,0.4978373945,0.4886142313,0.4925381839
236,0.4917129874,0.5036664605,0.4848635197,0.4863171279
237,0.4928581715,0.4848836362,0.4977688491,0.4864167571
238,0.4962406158,0.4974870086,0.4912864268,0.4874776304
239,0.4901691079,0.4962354004,0.4874024093,0.4880384803
240,0.4890918732,0.4919332862,0.4879601002,0.4873851538
241,0.4877859652,0.5013846159,0.488237381,0.4888934195
242,0.4875142574,0.4901835918,0.4915431738,0.4898372293
243,0.4896635413,0.4997837543,0.4869689047,0.4885907471
244,0.487113446,0.4896072745,0.4883936942,0.4871245921
245,0.4864187837,0.4982746542,0.4893477261,0.4880671799
246,0.4914939106,0.4913828671,0.4905527532,0.4926587045
247,0.5164238214,0.519701004,0.5132290721,0.5169429779
248,0.5337637067,0.5568560362,0.531578362,0.5369681716
249,0.5444846153,0.5349507928,0.5430067778,0.5447928905
250,0.5377131104,0.5438677669,0.5459997058,0.5450839996
251,0.5444762111,0.559643507,0.5533253551,0.5516360998
252,0.5527119637,0.5573768616,0.5496610999,0.5523896217
253,0.5477854609,0.545758009,0.5490649343,0.5473644137
254,0.5352755785,0.5426809192,0.5378246307,0.5364850163
255,0.5382668376,0.5409575701,0.5390924811,0.5364416242
256,0.5380650163,0.5365670323,0.5350261927,0.5368874669
257,0.5359893441,0.5344017148,0.5394377708,0.535454154
258,0.5395760536,0.5369883776,0.5393738747,0.5383600593
259,0.5363693237,0.5369532704,0.5387586355,0.5366513729
260,0.5482683778,0.5336446762,0.5446572304,0.5436702967
261,0.5366892219,0.5287425518,0.5444054604,0.5407383442
262,0.5414990187,0.5398421288,0.5388635993,0.5425432324
263,0.5380783081,0.5416538715,0.5433216691,0.5445400476
264,0.55597049,0.5552942157,0.5609528422,0.5596430302
265,0.5550269485,0.5512843132,0.5609852076,0.5610446334
266,0.5538241267,0.5620235205,0.556845665,0.5599603057
267,0.5554575324,0.5506561399,0.5603842139,0.5601685047
268,0.5578588843,0.5673110485,0.5577856898,0.5598290563
269,0.5580556989,0.559202075,0.5609593987,0.5599656701
270,0.559473753,0.5690304041,0.5585333705,0.5617167354
271,0.5596705675,0.5635925531,0.5657743812,0.5627022386
272,0.5586877465,0.56316787,0.5629031062,0.5634672046
273,0.5578110814,0.562083602,0.569957912,0.5652189851
274,0.5601468086,0.5662810802,0.5655381083,0.5646529198
275,0.5587109327,0.556286931,0.5581733584,0.5579417348
276,0.5549225807,0.557087481,0.561670661,0.5582463145
277,0.5539445281,0.5528205037,0.5538801551,0.556445241
278,0.564913094,0.557043016,0.5674371123,0.5665835142
279,0.5662397742,0.5711355805,0.5696871877,0.5662779808
280,0.5600771904,0.5677859783,0.5646018386,0.5627297759
281,0.5631408691,0.5564658642,0.5647234321,0.5639176965
