window_index,ClassPrior,Centroid,DiagGaussian,LinearSoftmax
125,0.8040968389,1.070560052,5.624477846,0.7553075972
126,0.9091818894,1.073764406,9.558068948,0.8731623113
127,0.7865762666,1.063141834,6.732169268,0.7484350329
128,0.7252682882,1.058226278,5.1357278,0.6405675712
129,1.036172453,1.099507186,10.25199148,0.9974429409
130,0.9792420344,1.111373441,8.603679013,0.9541352432
131,1.009883475,1.119370199,5.881250095,0.9780732663
132,0.9573394736,1.11930257,7.410413338,0.9328847628
133,1.114936047,1.111594964,7.520168026,1.101983104
134,1.084324132,1.109645821,8.804917949,1.030000137
135,1.049311037,1.109200326,8.438152313,0.973234976
136,1.176263217,1.102593877,10.30322578,1.159848619
137,0.9442141763,1.11082123,8.170913458,0.9107949717
138,1.071169309,1.112173547,8.871771593,1.007513983
139,0.9091759842,1.124733426,7.329859462,0.9599829597
140,0.9135505912,1.113731262,7.228678889,0.9014059505
141,0.8303784356,1.112138094,6.306039022,0.8162304305
142,0.712163659,1.12185732,4.446709946,0.6618750831
143,0.8347633767,1.128618897,6.092627977,0.8229511867
144,0.8478650532,1.115189462,5.520211213,0.7705533883
145,0.7077742891,1.126109273,4.409842727,0.7048341872
146,0.6902507642,1.117710873,4.085171409,0.6206148884
147,0.760330101,1.122913192,5.144613792,0.7766405822
148,0.7603197669,1.116024473,5.040017986,0.7239494588
149,0.7296665159,1.123627191,4.613766976,0.7169913497
150,0.5720492742,1.132508435,1.655648957,0.5196476146
151,0.6946327526,1.115093272,4.560630882,0.6175807162
152,0.6596004657,1.152541131,9.406261247,0.7141158987
153,0.6946386578,1.133434159,6.089684308,0.6841384212
154,0.6464736922,1.119618919,2.87240991,0.587370136
155,0.7997178031,1.130952213,7.354149865,0.8199397999
156,0.6202083347,1.118456384,3.094212728,0.5879355648
157,0.7778270526,1.111690207,5.696195964,0.7255927408
158,0.7909671128,1.1315485,8.57893169,0.7422575301
159,0.9310490191,1.111030019,7.863019438,0.8882658725
160,0.5151262369,1.137442523,3.585680792,0.4120996788
161,0.510747201,1.10182116,1.059131155,0.3478349825
162,0.8172368991,1.112334112,6.318324774,0.7629782165
163,0.760315338,1.111543315,5.488876869,0.7058337123
164,0.6245991809,1.136049242,5.553085928,0.498066308
165,0.7909508736,1.125711962,6.536416905,0.7605044264
166,0.699004407,1.12233927,5.692725844,0.6065527959
167,0.7778329578,1.112942837,5.376553448,0.7193336548
168,0.6070667982,1.112363101,3.946069568,0.466834758
169,0.9398174249,1.124550717,8.026110191,0.8834159075
170,0.874152555,1.119246216,5.485143886,0.8576710747
171,0.7209143493,1.120581379,4.320011398,0.6897969565
172,0.7121548013,1.114743281,4.246586559,0.6946615636
173,0.6596181812,1.118590826,4.114151515,0.5641852472
174,1.040527868,1.103753831,10.1994144,1.014046966
175,1.18500505,1.100828825,11.54156822,1.224229072
176,0.7997178031,1.118615552,4.652325548,0.7575648325
177,0.8040953626,1.123824578,5.866464947,0.8081026693
178,0.593941501,1.108468345,2.484427693,0.4372402009
179,0.7165353134,1.130194458,4.944232905,0.6256523991
180,0.5238872612,1.128976708,0.9328503382,0.4743635755
181,0.598316108,1.152341443,2.712040226,0.666444805
182,0.5238843086,1.129193401,0.4929178865,0.5410696504
183,0.5895639414,1.127442662,2.631439549,0.5214635661
184,0.5282633445,1.130817687,4.457749013,0.3669448102
185,0.537015511,1.12298883,2.847157783,0.3685557058
186,0.6596152286,1.124729556,6.614555779,0.6107222753
187,0.8041012678,1.115993118,7.017977401,0.7517096401
188,0.7997089453,1.129953683,8.311678071,0.7882065652
189,0.5676687621,1.143478829,3.634684745,0.5139767226
