window_index,DLinear,PatchTST,iTransformer,TimesNet
178,0.4791666567,0.5208333135,0.5,0.5
179,0.5625,0.4791666567,0.4791666567,0.4791666567
180,0.5416666865,0.4375,0.4583333433,0.4583333433
181,0.5416666865,0.5208333135,0.4791666567,0.4791666567
182,0.4166666567,0.5416666865,0.5,0.5
183,0.4583333433,0.4583333433,0.5,0.5
184,0.4583333433,0.4791666567,0.4791666567,0.4791666567
185,0.5,0.5416666865,0.4791666567,0.4791666567
186,0.4583333433,0.4375,0.4791666567,0.4791666567
187,0.5,0.4791666567,0.4583333433,0.4583333433
188,0.4583333433,0.4375,0.4583333433,0.4583333433
189,0.5625,0.375,0.4583333433,0.4583333433
190,0.4791666567,0.5,0.4791666567,0.4791666567
191,0.5208333135,0.5208333135,0.5208333135,0.4791666567
192,0.5208333135,0.625,0.5,0.5
193,0.4375,0.5416666865,0.4791666567,0.4791666567
194,0.4791666567,0.4583333433,0.5208333135,0.5
195,0.4583333433,0.5625,0.5208333135,0.5208333135
196,0.5,0.3541666567,0.5208333135,0.5208333135
197,0.4583333433,0.3958333433,0.5,0.5
198,0.5416666865,0.4375,0.5416666865,0.5
199,0.3958333433,0.5416666865,0.5,0.5
200,0.5416666865,0.4791666567,0.4791666567,0.4791666567
201,0.4375,0.4583333433,0.5,0.5
202,0.4791666567,0.4375,0.4791666567,0.5
203,0.5416666865,0.4166666567,0.5208333135,0.5
204,0.4791666567,0.5416666865,0.5208333135,0.5208333135
205,0.4791666567,0.4583333433,0.5208333135,0.5208333135
206,0.4791666567,0.5208333135,0.5208333135,0.5208333135
207,0.4791666567,0.4375,0.4791666567,0.5
208,0.4791666567,0.6041666865,0.5208333135,0.5208333135
209,0.5,0.4791666567,0.5208333135,0.5208333135
210,0.4166666567,0.5,0.5,0.5208333135
211,0.3958333433,0.4791666567,0.5,0.5208333135
212,0.5,0.5208333135,0.5,0.5
213,0.5208333135,0.5208333135,0.5,0.5
214,0.4375,0.3958333433,0.5416666865,0.5208333135
215,0.4375,0.5416666865,0.5208333135,0.5208333135
216,0.3958333433,0.5833333135,0.5208333135,0.5208333135
217,0.4166666567,0.5625,0.5416666865,0.5416666865
